,Matching_all
0,0.5296912114014252
1,0.6484560570071259
2,0.9216152019002375
3,0.5629453681710214
4,0.3657957244655582
5,0.8527315914489311
6,0.4584323040380047
7,0.7458432304038005
8,0.8266033254156769
9,0.3919239904988123
10,0.667458432304038
11,1.0950118764845607
12,0.2992874109263658
13,0.7553444180522565
14,0.8123515439429929
15,0.7220902612826603
16,0.7957244655581948
17,0.45368171021377673
18,0.33729216152019004
19,0.5368171021377672
20,0.7102137767220903
21,0.5439429928741093
22,0.6080760095011877
23,1.0332541567695963
24,0.5296912114014252
25,0.8028503562945368
26,0.44655581947743467
27,0.7767220902612827
28,0.7505938242280285
29,0.7838479809976246
30,0.24703087885985747
31,0.5724465558194775
32,0.6270783847980997
33,0.517814726840855
34,0.8028503562945368
35,0.7482185273159145
36,0.3491686460807601
37,0.38717339667458434
38,0.342042755344418
39,0.9216152019002375
40,0.334916864608076
41,0.4679334916864608
42,0.4156769596199525
43,0.31116389548693585
44,0.5700712589073634
45,0.8788598574821853
46,0.47030878859857483
47,0.6128266033254157
48,1.0546318289786223
49,0.42042755344418054
50,0.8147268408551069
51,0.7244655581947743
52,0.3515439429928741
53,0.4821852731591449
54,0.6057007125890737
55,0.5700712589073634
56,0.6508313539192399
57,0.5843230403800475
58,0.7197149643705463
59,0.9691211401425178
60,0.7125890736342043
61,0.8883610451306413
62,0.6104513064133017
63,0.5368171021377672
64,1.1947743467933492
65,0.6294536817102138
66,0.7814726840855107
67,0.5249406175771971
68,0.7292161520190024
69,0.29691211401425177
70,0.37292161520190026
71,0.7197149643705463
72,0.503562945368171
73,0.7648456057007126
74,0.7814726840855107
75,0.6389548693586699
76,0.34679334916864607
77,0.6009501187648456
78,0.6745843230403801
79,0.7814726840855107
80,0.5510688836104513
81,0.8242280285035629
82,0.9548693586698337
83,0.3254156769596199
84,0.4750593824228028
85,0.6508313539192399
86,0.9026128266033254
87,0.5795724465558195
88,0.6270783847980997
89,0.7244655581947743
90,0.41092636579572445
91,0.35391923990498814
92,0.44418052256532065
93,0.5415676959619953
94,0.7339667458432304
95,0.40617577197149646
96,0.5083135391923991
97,0.40380047505938244
98,0.997624703087886
99,0.6555819477434679
