,IPW,S_learner,T_learner,Matching_propensity,Matching_all
0,1.1638084188635716,0.0,1.812664907651715,1.6147757255936674,2.163588390501319
1,0.9818276058308917,0.0,1.245382585751979,2.034300791556728,2.2401055408970976
2,0.8206472729826242,0.0,1.3773087071240107,1.5408970976253298,1.7493403693931397
3,0.8456148980271694,0.0,0.762532981530343,1.482849604221636,1.9419525065963061
4,1.3246154324227375,0.0,1.6121372031662269,1.6860158311345645,2.058047493403694
5,1.1629467421608246,0.0,2.6965699208443272,1.5356200527704484,1.9788918205804749
6,0.8037132660879212,0.0,3.0686015831134563,1.5092348284960422,2.050131926121372
7,0.9618594634496547,0.0,2.9076517150395778,2.044854881266491,2.134564643799472
8,1.099872741904046,0.0,1.7810026385224274,1.6437994722955145,2.1662269129287597
9,1.0656532429190322,0.0,1.5329815303430079,0.5593667546174143,2.0184696569920844
10,1.2215693779178811,0.0,2.8733509234828496,2.134564643799472,2.192612137203166
11,1.1137170364435949,0.0,2.055408970976253,1.6015831134564644,2.2189973614775726
12,1.0067281976162086,0.0,2.7440633245382586,2.1398416886543536,1.8601583113456464
13,1.1902971260687059,0.0,0.40897097625329815,1.5883905013192612,2.079155672823219
14,1.0372189792427544,0.0,0.9683377308707124,2.575197889182058,2.345646437994723
15,1.1249830947330857,0.0079155672823219,1.4802110817941954,1.6147757255936674,2.2559366754617414
16,1.2239971730128376,0.0,1.5646437994722955,2.174142480211082,2.2849604221635884
17,1.0550069399122606,0.0,1.0316622691292876,1.0316622691292876,1.7968337730870712
18,1.3819566603534825,1.912928759894459,1.3693931398416888,1.7176781002638521,2.5277044854881265
19,1.16433680906558,0.0,2.6437994722955147,2.0606860158311346,2.0897097625329817
20,0.9677424366899803,0.0,2.6358839050131926,1.5883905013192612,2.2902374670184695
21,1.2946861700929433,0.0,2.8522427440633247,3.688654353562005,2.2849604221635884
22,1.0888249367099143,0.013192612137203167,1.8232189973614776,1.6939313984168864,2.3060686015831133
23,1.0013043944191424,0.0,2.3298153034300793,0.9947229551451188,1.9604221635883905
24,1.0252368785618908,0.0,1.5936675461741425,1.5145118733509235,2.071240105540897
25,1.147984604891482,0.010554089709762533,1.2612137203166227,1.562005277044855,1.992084432717678
26,0.939043764462099,0.0,1.8522427440633245,1.641160949868074,2.390501319261214
27,1.0003893320638755,0.0,2.770448548812665,0.5989445910290238,2.2744063324538257
28,0.8269962369247839,0.0,2.345646437994723,1.4960422163588392,1.9445910290237467
29,1.0374830371297663,0.0,2.321899736147757,1.0633245382585752,2.044854881266491
30,1.048757602070018,0.0,3.0369393139841687,1.5329815303430079,2.0105540897097627
31,0.9321626646119823,0.0,2.192612137203166,1.562005277044855,2.2506596306068603
