,Matching_all
0,1.4511378848728247
1,1.7965194109772422
2,1.3025435073627845
3,1.5983935742971886
4,1.4163319946452477
5,1.2945113788487284
6,1.6398929049531459
7,1.7336010709504686
8,1.2315930388219545
9,1.6398929049531459
10,1.4712182061579653
11,1.5769745649263722
12,1.6345381526104417
13,1.538152610441767
14,1.7469879518072289
15,1.3467202141900938
16,1.356091030789826
17,1.35475234270415
18,1.5582329317269077
19,1.5314591700133868
20,1.3038821954484605
21,1.5314591700133868
22,1.6720214190093707
23,1.3012048192771084
24,1.5100401606425702
25,1.4712182061579653
26,1.6653279785809907
27,1.5475234270414993
28,1.4738955823293172
29,1.4377510040160641
30,1.3654618473895583
31,1.6131191432396252
32,1.3360107095046854
33,1.5408299866131192
34,1.1726907630522088
35,1.5127175368139223
36,1.6157965194109773
37,1.4109772423025435
38,1.5635876840696117
39,1.390896921017403
40,1.4042838018741632
41,1.5327978580990629
42,1.6733601070950468
43,1.4230254350736278
44,1.7884872824631861
45,1.5756358768406962
46,1.3025435073627845
47,1.5488621151271753
48,1.394912985274431
49,1.5783132530120483
50,1.3253012048192772
51,1.4886211512717538
52,1.2436412315930387
53,1.5394912985274432
54,1.4765729585006693
55,1.2891566265060241
56,1.8447121820615797
57,1.394912985274431
58,1.5890227576974565
59,1.7068273092369477
60,1.322623828647925
61,1.4605087014725568
62,1.4377510040160641
63,1.6010709504685408
64,1.677376171352075
65,1.6184738955823292
66,1.5220883534136547
67,1.4698795180722892
68,1.4564926372155287
69,1.642570281124498
70,1.6211512717536813
71,1.3319946452476572
72,1.4752342704149932
73,1.3038821954484605
74,1.6894243641231592
75,1.6331994645247658
76,1.6291834002677377
77,1.4069611780455153
78,1.714859437751004
79,1.7095046854082998
80,1.3734939759036144
81,1.6372155287817938
82,1.5595716198125837
83,1.7001338688085676
84,1.4243641231593038
85,1.4082998661311914
86,1.5917001338688086
87,1.3078982597054887
88,1.677376171352075
89,1.5153949129852744
90,1.5582329317269077
91,1.3453815261044177
92,1.6305220883534137
93,1.3333333333333333
94,1.5247657295850068
95,1.4497991967871486
96,1.4524765729585007
97,1.6546184738955823
98,1.538152610441767
99,1.5676037483266398
100,1.5809906291834002
101,1.4390896921017402
102,1.5247657295850068
103,1.3721552878179384
104,1.6813922356091031
105,1.5261044176706828
106,1.570281124497992
107,1.3775100401606426
108,1.2623828647925033
109,1.4779116465863453
110,1.5327978580990629
111,1.7336010709504686
112,1.5635876840696117
113,1.4484605087014726
114,1.4042838018741632
115,1.5609103078982598
116,1.3172690763052208
117,1.5863453815261044
118,1.3386880856760375
119,1.8112449799196788
120,1.5394912985274432
121,1.6144578313253013
122,1.3266398929049532
123,1.4939759036144578
124,1.4725568942436413
125,1.465863453815261
126,1.5502008032128514
127,1.3895582329317269
128,1.4377510040160641
129,1.4605087014725568
130,1.7965194109772422
131,1.6037483266398929
132,1.3962516733601071
133,1.5247657295850068
134,1.4926372155287817
135,1.3734939759036144
136,1.6171352074966532
137,1.71619812583668
138,1.4792503346720214
139,1.5528781793842035
140,1.7791164658634537
141,1.4096385542168675
142,1.568942436412316
143,1.5408299866131192
144,1.2356091030789826
145,1.7697456492637216
146,1.4832663989290495
147,1.4564926372155287
148,1.2650602409638554
149,1.752342704149933
