,Matching_all
259,1.5756358768406962
260,1.4002677376171353
261,1.4149933065595717
262,1.3989290495314592
263,1.5983935742971886
264,1.5153949129852744
265,1.6238286479250335
266,1.2302543507362784
267,1.5100401606425702
268,1.7295850066934404
269,1.6224899598393574
270,1.3373493975903614
271,1.393574297188755
272,1.5568942436412316
273,1.5850066934404283
274,1.5327978580990629
275,1.570281124497992
276,1.502008032128514
277,1.6157965194109773
278,1.4698795180722892
279,1.605087014725569
280,1.6519410977242301
281,1.461847389558233
282,1.6733601070950468
283,1.5394912985274432
284,1.5100401606425702
285,1.7643908969210174
286,1.499330655957162
287,1.5153949129852744
288,1.6010709504685408
289,1.678714859437751
290,1.5943775100401607
291,1.4350736278447123
292,1.2784471218206157
293,1.323962516733601
294,1.4899598393574298
295,1.7054886211512716
296,1.5421686746987953
297,1.6961178045515395
298,1.749665327978581
299,1.4939759036144578
300,1.6358768406961177
301,1.3614457831325302
302,1.4203480589022757
303,1.572958500669344
304,1.3868808567603748
305,1.4551539491298529
306,1.356091030789826
307,1.5622489959839359
308,1.4457831325301205
309,1.821954484605087
310,1.2998661311914324
311,1.4230254350736278
312,1.3145917001338687
313,1.3694779116465863
314,1.4551539491298529
315,1.6144578313253013
316,1.4431057563587684
317,1.3614457831325302
318,1.5983935742971886
319,1.4056224899598393
320,1.286479250334672
321,1.4109772423025435
322,1.465863453815261
323,1.5394912985274432
324,1.4497991967871486
325,1.6131191432396252
326,1.4712182061579653
327,1.4042838018741632
328,1.570281124497992
329,1.6586345381526104
330,1.5957161981258368
331,1.5649263721552877
332,1.5100401606425702
333,1.5408299866131192
334,1.3855421686746987
335,1.5475234270414993
336,1.4819277108433735
337,1.5140562248995983
338,1.2182061579651942
339,1.4350736278447123
340,1.5635876840696117
341,1.6037483266398929
342,1.3266398929049532
343,1.5435073627844713
344,1.5234270414993307
345,1.6251673360107095
346,1.4364123159303883
347,1.4926372155287817
348,1.4082998661311914
349,1.538152610441767
350,1.3078982597054887
351,1.1860776439089693
352,1.4578313253012047
353,1.7081659973226238
354,1.431057563587684
355,1.431057563587684
356,1.2757697456492638
357,1.6465863453815262
358,1.5876840696117804
359,1.4216867469879517
360,1.6934404283801874
361,1.4029451137884872
362,1.6746987951807228
363,1.429718875502008
364,1.5595716198125837
365,1.6613119143239625
366,1.215528781793842
367,1.4257028112449799
368,1.5756358768406962
369,1.497991967871486
370,1.502008032128514
371,1.3119143239625168
372,1.6572958500669344
373,1.568942436412316
374,1.5100401606425702
375,1.6465863453815262
376,1.4096385542168675
377,1.3440428380187417
378,1.7389558232931728
379,1.5207496653279786
380,1.6572958500669344
381,1.642570281124498
382,1.2182061579651942
383,1.4042838018741632
384,1.4216867469879517
385,1.4685408299866132
386,1.2409638554216869
387,1.4444444444444444
388,1.5153949129852744
389,1.6331994645247658
390,1.3306559571619812
391,1.5823293172690762
392,1.3012048192771084
393,1.572958500669344
394,1.5180722891566265
395,1.5153949129852744
396,1.4511378848728247
397,1.5435073627844713
398,1.606425702811245
399,1.4912985274431056
