,match_id,team_id,possession_full_match,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
142,1809,8650,70,12,7,5,1,1,0
143,1809,8667,30,3,2,1,1,1,0
144,1810,8472,48,7,5,2,3,2,1
145,1810,8659,52,13,7,6,0,0,0
146,1811,8586,38,5,3,2,1,1,0
147,1811,10260,62,10,5,5,1,0,1
148,1812,10252,55,4,1,3,1,0,1
149,1812,8559,45,1,0,1,0,0,0
150,1813,9825,52,10,3,7,1,0,1
151,1813,8549,48,3,1,2,0,0,0
152,1816,9879,57,7,2,5,2,1,1
153,1816,10194,43,0,0,0,1,1,0
154,1817,8528,4,1,1,0,3,3,0
155,1817,8655,96,4,3,1,0,0,0
156,1818,8455,57,16,6,10,3,1,2
157,1818,8654,43,1,0,1,0,0,0
158,1821,8654,59,12,6,6,3,1,2
159,1821,10252,41,6,4,2,3,1,2
160,1822,8455,56,7,5,2,3,1,2
161,1822,8668,44,9,5,4,0,0,0
162,1823,8586,55,6,4,2,1,0,1
163,1823,10261,45,3,3,0,0,0,0
164,1824,10194,55,4,1,3,2,1,1
165,1824,8655,45,6,1,5,2,0,2
166,1825,8549,47,6,4,2,2,1,1
167,1825,9879,53,10,7,3,0,0,0
168,1828,8667,49,8,6,2,5,4,1
169,1828,8472,51,5,0,5,1,0,1
170,1829,8650,67,9,5,4,1,0,1
171,1829,8559,33,1,1,0,0,0,0
172,1830,8655,44,3,1,2,2,2,0
173,1830,8472,56,9,0,9,0,0,0
174,1832,10252,45,7,5,2,2,0,2
175,1832,9825,55,3,0,3,1,0,1
176,1833,8549,54,5,3,2,2,0,2
177,1833,8668,46,4,1,3,1,0,1
178,1834,8667,44,6,3,3,1,0,1
179,1834,8456,56,9,8,1,0,0,0
180,1836,10194,48,4,1,3,3,0,3
181,1836,10260,52,8,3,5,0,0,0
182,1838,8455,62,14,6,8,1,1,0
183,1838,8659,38,5,1,4,1,1,0
184,1839,8650,57,6,3,3,1,1,0
185,1839,8549,43,4,2,2,0,0,0
186,1840,8472,45,4,3,1,3,0,3
187,1840,8586,55,6,0,6,1,0,1
188,1841,10261,57,6,2,4,1,1,0
189,1841,8559,43,3,1,2,0,0,0
190,1842,8456,58,5,4,1,3,1,2
191,1842,8654,42,0,0,0,2,0,2
192,1843,8655,60,4,2,2,1,0,1
193,1843,8667,40,3,1,2,0,0,0
194,1844,9825,53,8,2,6,1,0,1
195,1844,9879,47,2,2,0,0,0,0
196,1845,8659,47,7,2,5,1,1,0
197,1845,8668,53,4,2,2,2,0,2
198,1846,10260,64,7,3,4,3,2,1
199,1846,8462,36,4,1,3,0,0,0
200,1847,10194,46,1,1,0,2,1,1
201,1847,10252,54,0,0,0,2,0,2
202,1849,10260,53,12,7,5,2,1,1
203,1849,8549,47,2,2,0,2,0,2
204,1850,9825,57,6,2,4,1,1,0
205,1850,8462,43,4,2,2,0,0,0
206,1851,10194,33,4,1,3,2,0,2
207,1851,8654,67,12,5,7,0,0,0
208,1852,8472,41,6,4,2,1,0,1
209,1852,8668,59,3,1,2,0,0,0
210,1854,8655,51,7,3,4,3,1,2
211,1854,8456,49,1,0,1,0,0,0
212,1855,8455,59,17,9,8,1,0,1
213,1855,9879,41,1,1,0,0,0,0
214,1856,8559,44,9,3,6,1,1,0
215,1856,8528,56,6,6,0,2,1,1
216,1857,8659,53,7,3,4,2,2,0
217,1857,8586,47,5,2,3,0,0,0
218,1858,10252,57,3,1,2,1,1,0
219,1858,8667,43,3,1,2,1,0,1
220,1859,8455,44,6,4,2,1,1,0
221,1859,10260,56,6,3,3,2,0,2
222,1860,9825,64,7,1,6,2,0,2
223,1860,8559,36,3,0,3,0,0,0
224,1861,8659,47,6,3,3,1,1,0
225,1861,10252,53,14,6,8,0,0,0
226,1862,8668,57,2,2,0,1,0,1
227,1862,8667,43,0,0,0,0,0,0
228,1863,8549,55,4,2,2,1,0,1
229,1863,8472,45,4,2,2,1,0,1
230,1865,9879,49,8,5,3,1,0,1
231,1865,8655,51,7,3,4,1,0,1
232,1866,8462,55,6,2,4,4,1,3
233,1866,8456,45,8,4,4,1,1,0
234,1867,8650,65,5,2,3,1,0,1
235,1867,10194,35,0,0,0,0,0,0
236,1868,8586,49,4,2,2,3,0,3
237,1868,8528,51,5,4,1,0,0,0
238,1869,8668,44,5,3,2,1,0,1
239,1869,8650,56,5,3,2,0,0,0
