,match_id,team_id,possession_until_halftime,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
142,1811,8586,32,5,3,2,1,0,1
143,1811,10260,68,10,5,5,0,0,0
144,1812,10252,53,4,1,3,1,0,1
145,1812,8559,47,1,0,1,0,0,0
146,1815,8462,45,7,3,4,2,1,1
147,1815,10261,55,2,1,1,1,1,0
148,1816,9879,59,7,2,5,3,3,0
149,1816,10194,41,0,0,0,0,0,0
150,1817,8528,60,1,1,0,3,1,2
151,1817,8655,40,4,3,1,0,0,0
152,1820,8650,41,7,4,3,2,2,0
153,1820,9825,59,3,1,2,1,1,0
154,1821,8654,52,12,6,6,3,1,2
155,1821,10252,48,6,4,2,0,0,0
156,1822,8455,66,7,5,2,1,0,1
157,1822,8668,34,9,5,4,0,0,0
158,1823,8586,47,6,4,2,2,1,1
159,1823,10261,53,3,3,0,2,0,2
160,1824,10194,56,4,1,3,2,1,1
161,1824,8655,44,6,1,5,0,0,0
162,1825,8549,45,6,4,2,5,4,1
163,1825,9879,55,10,7,3,1,0,1
164,1826,8559,48,8,5,3,2,2,0
165,1826,8462,52,7,6,1,4,1,3
166,1829,8650,70,9,5,4,1,0,1
167,1829,8559,30,1,1,0,0,0,0
168,1830,8655,57,3,1,2,2,1,1
169,1830,8472,43,9,0,9,1,0,1
170,1831,9879,57,7,5,2,2,2,0
171,1831,8586,43,9,3,6,0,0,0
172,1832,10252,56,7,5,2,2,0,2
173,1832,9825,44,3,0,3,1,0,1
174,1833,8549,43,5,3,2,2,0,2
175,1833,8668,57,4,1,3,1,0,1
176,1834,8667,45,6,3,3,1,0,1
177,1834,8456,55,9,8,1,0,0,0
178,1835,8654,52,6,3,3,3,0,3
179,1835,8462,48,15,4,11,0,0,0
180,1836,10194,44,4,1,3,1,1,0
181,1836,10260,56,8,3,5,0,0,0
182,1837,10261,56,3,2,1,3,0,3
183,1837,8528,44,9,3,6,1,0,1
184,1838,8455,63,14,6,8,1,1,0
185,1838,8659,37,5,1,4,0,0,0
186,1839,8650,57,6,3,3,3,1,2
187,1839,8549,43,4,2,2,2,0,2
188,1840,8472,49,4,3,1,1,1,0
189,1840,8586,51,6,0,6,0,0,0
190,1841,10261,57,6,2,4,1,0,1
191,1841,8559,43,3,1,2,0,0,0
192,1842,8456,56,5,4,1,1,0,1
193,1842,8654,44,0,0,0,0,0,0
194,1844,9825,55,8,2,6,1,1,0
195,1844,9879,45,2,2,0,2,0,2
196,1845,8659,53,7,2,5,3,2,1
197,1845,8668,47,4,2,2,0,0,0
198,1846,10260,59,7,3,4,6,2,4
199,1846,8462,41,4,1,3,2,2,0
200,1847,10194,48,1,1,0,2,1,1
201,1847,10252,52,0,0,0,2,0,2
202,1848,8528,51,9,5,4,1,1,0
203,1848,8455,49,4,1,3,0,0,0
204,1849,10260,45,12,7,5,2,0,2
205,1849,8549,55,2,2,0,0,0,0
206,1850,9825,54,6,2,4,1,0,1
207,1850,8462,46,4,2,2,0,0,0
208,1851,10194,48,4,1,3,3,1,2
209,1851,8654,52,12,5,7,0,0,0
210,1852,8472,38,6,4,2,1,0,1
211,1852,8668,62,3,1,2,0,0,0
212,1853,8650,64,11,9,2,2,2,0
213,1853,10261,36,6,0,6,0,0,0
214,1855,8455,54,17,9,8,1,1,0
215,1855,9879,46,1,1,0,1,0,1
216,1856,8559,47,9,3,6,1,1,0
217,1856,8528,53,6,6,0,2,0,2
218,1857,8659,47,7,3,4,2,0,2
219,1857,8586,53,5,2,3,0,0,0
220,1858,10252,60,3,1,2,1,1,0
221,1858,8667,40,3,1,2,0,0,0
222,1859,8455,45,6,4,2,1,0,1
223,1859,10260,55,6,3,3,0,0,0
224,1860,9825,61,7,1,6,1,1,0
225,1860,8559,39,3,0,3,2,0,2
226,1862,8668,51,2,2,0,1,0,1
227,1862,8667,49,0,0,0,1,0,1
228,1863,8549,51,4,2,2,4,1,3
229,1863,8472,49,4,2,2,1,1,0
230,1865,9879,51,8,5,3,1,0,1
231,1865,8655,49,7,3,4,0,0,0
232,1866,8462,53,6,2,4,3,0,3
233,1866,8456,47,8,4,4,0,0,0
234,1867,8650,59,5,2,3,1,0,1
235,1867,10194,41,0,0,0,0,0,0
236,1868,8586,48,4,2,2,3,1,2
237,1868,8528,52,5,4,1,1,0,1
238,1870,10252,60,2,1,1,1,0,1
239,1870,8472,40,4,2,2,2,0,2
240,1871,8586,56,15,10,5,3,3,0
241,1871,8462,44,4,4,0,1,0,1
242,1872,8654,54,6,4,2,3,2,1
243,1872,9879,46,5,1,4,0,0,0
244,1873,8456,51,2,2,0,6,2,4
245,1873,8528,49,8,1,7,0,0,0
246,1874,10261,53,3,3,0,1,1,0
247,1874,8655,47,3,1,2,1,0,1
248,1875,10260,54,13,6,7,1,0,1
249,1875,8559,46,3,3,0,1,0,1
250,1877,8667,43,4,3,1,2,1,1
251,1877,9825,57,5,2,3,1,0,1
252,1878,8455,53,19,10,9,2,2,0
253,1878,10194,47,1,1,0,3,0,3
254,1880,8586,59,11,6,5,2,0,2
255,1880,10194,41,1,0,1,0,0,0
256,1881,8667,31,12,7,5,1,1,0
257,1881,8654,69,10,4,6,0,0,0
258,1882,10260,57,6,4,2,2,0,2
259,1882,8659,43,4,3,1,0,0,0
260,1884,8528,44,2,2,0,1,1,0
261,1884,8650,56,3,1,2,2,0,2
262,1885,9825,49,4,2,2,3,1,2
263,1885,8668,51,4,2,2,2,0,2
264,1886,8456,66,4,2,2,2,1,1
265,1886,10261,34,0,0,0,2,0,2
266,1887,8655,44,11,3,8,1,1,0
267,1887,8559,56,1,1,0,0,0,0
268,1888,8455,63,12,6,6,1,1,0
269,1888,8549,37,6,3,3,0,0,0
270,1889,10260,53,11,6,5,2,1,1
271,1889,8668,47,5,1,4,0,0,0
272,1890,9825,63,9,3,6,3,1,2
273,1890,8654,37,2,1,1,0,0,0
274,1891,8455,54,4,3,1,1,1,0
275,1891,8650,46,14,5,9,3,2,1
276,1893,8655,48,12,3,9,3,3,0
277,1893,8549,52,6,2,4,2,1,1
278,1894,8472,55,10,8,2,2,0,2
279,1894,10261,45,14,6,8,4,0,4
280,1896,8586,56,8,3,5,3,2,1
281,1896,8559,44,5,3,2,1,1,0
282,1897,8667,63,10,5,5,2,0,2
283,1897,8659,37,4,0,4,1,0,1
284,1898,8456,51,6,1,5,1,1,0
285,1898,10194,49,3,2,1,0,0,0
286,1900,8586,56,7,5,2,1,1,0
287,1900,9825,44,1,0,1,0,0,0
288,1901,8654,41,5,3,2,2,0,2
289,1901,10260,59,8,5,3,1,0,1
290,1902,8668,66,8,4,4,2,2,0
291,1902,8559,34,5,0,5,1,0,1
292,1904,8655,51,11,5,6,2,1,1
293,1904,10252,49,5,2,3,1,1,0
294,1905,10261,52,6,4,2,1,0,1
295,1905,8659,48,4,1,3,3,0,3
296,1906,8462,47,4,3,1,4,2,2
297,1906,8650,53,4,1,3,0,0,0
298,1907,9879,48,3,3,0,1,1,0
299,1907,8528,52,4,1,3,1,0,1
300,1909,8655,42,6,1,5,1,0,1
