,match_id,shots_on_first_half,shots_on_second_half,goals_first_half,T,id_x,country_id,season,stage,date,is_home_team,curr_buildUpPlaySpeed,rival_buildUpPlaySpeed,curr_buildUpPlaySpeedClass,rival_buildUpPlaySpeedClass,curr_buildUpPlayDribblingClass,rival_buildUpPlayDribblingClass,curr_buildUpPlayPassing,rival_buildUpPlayPassing,curr_buildUpPlayPassingClass,rival_buildUpPlayPassingClass,curr_buildUpPlayPositioningClass,rival_buildUpPlayPositioningClass,curr_chanceCreationPassing,rival_chanceCreationPassing,curr_chanceCreationPassingClass,rival_chanceCreationPassingClass,curr_chanceCreationCrossing,rival_chanceCreationCrossing,curr_chanceCreationCrossingClass,rival_chanceCreationCrossingClass,curr_chanceCreationShooting,rival_chanceCreationShooting,curr_chanceCreationShootingClass,rival_chanceCreationShootingClass,curr_chanceCreationPositioningClass,rival_chanceCreationPositioningClass,curr_defencePressure,rival_defencePressure,curr_defencePressureClass,rival_defencePressureClass,curr_defenceAggression,rival_defenceAggression,curr_defenceAggressionClass,rival_defenceAggressionClass,curr_defenceTeamWidth,rival_defenceTeamWidth,curr_defenceTeamWidthClass,rival_defenceTeamWidthClass,curr_defenceDefenderLineClass,rival_defenceDefenderLineClass,curr_field players rating,rival_field players rating,curr_gk rating,rival_gk rating,draw_bets,curr_bets,rival_bets,curr_team_api_id,rival_team_api_id,curr_shots_1,rival_shots_1,month,team_long_name,id_y,country_name,cards,fouls
127,23853.0,2.0,0.0,0.0,False,23853.0,21518.0,2014/2015,14.0,2014-12-07,False,50,35,Balanced,Balanced,Normal,Normal,44,32,Mixed,Short,Organised,Free Form,52,37,Normal,Normal,60,31,Normal,Little,40,35,Normal,Normal,Organised,Free Form,37,61,Medium,Medium,40,63,Press,Press,45,65,Normal,Normal,Cover,Cover,71.2,83.18,80.0,80.4,10.0,23.166666666666668,1.095,8558.0,8634.0,2.0,3.0,12,RCD Espanyol,21518,Spain,4,17
128,24110.0,5.0,1.0,0.0,True,24110.0,21518.0,2014/2015,38.0,2015-05-23,True,35,56,Balanced,Balanced,Normal,Normal,32,46,Short,Mixed,Free Form,Organised,37,38,Normal,Normal,31,52,Little,Normal,35,68,Normal,Lots,Free Form,Organised,61,45,Medium,Medium,63,50,Press,Press,65,59,Normal,Normal,Cover,Cover,83.18,71.6,80.4,74.0,5.875,1.28,10.166666666666666,8634.0,9783.0,5.0,0.0,5,FC Barcelona,21518,Spain,4,15
129,24110.0,0.0,1.0,0.0,False,24110.0,21518.0,2014/2015,38.0,2015-05-23,False,56,35,Balanced,Balanced,Normal,Normal,46,32,Mixed,Short,Organised,Free Form,38,37,Normal,Normal,52,31,Normal,Little,68,35,Lots,Normal,Organised,Free Form,45,61,Medium,Medium,50,63,Press,Press,59,65,Normal,Normal,Cover,Cover,71.6,83.18,74.0,80.4,5.875,10.166666666666666,1.28,9783.0,8634.0,0.0,5.0,5,RC Deportivo de La Coruña,21518,Spain,4,15
130,24147.0,3.0,8.0,0.0,True,24147.0,21518.0,2014/2015,6.0,2014-09-27,True,35,52,Balanced,Balanced,Normal,Normal,32,37,Short,Mixed,Free Form,Organised,37,67,Normal,Risky,31,68,Little,Lots,35,52,Normal,Normal,Free Form,Organised,61,49,Medium,Medium,63,45,Press,Press,65,64,Normal,Normal,Cover,Cover,83.18,71.5,80.4,74.0,8.25,1.1283333333333332,19.666666666666668,8634.0,7878.0,3.0,2.0,9,FC Barcelona,21518,Spain,4,23
131,24147.0,2.0,0.0,0.0,False,24147.0,21518.0,2014/2015,6.0,2014-09-27,False,52,35,Balanced,Balanced,Normal,Normal,37,32,Mixed,Short,Organised,Free Form,67,37,Risky,Normal,68,31,Lots,Little,52,35,Normal,Normal,Organised,Free Form,49,61,Medium,Medium,45,63,Press,Press,64,65,Normal,Normal,Cover,Cover,71.5,83.18,74.0,80.4,8.25,19.666666666666668,1.1283333333333332,7878.0,8634.0,2.0,3.0,9,Granada CF,21518,Spain,4,23
132,23862.0,3.0,8.0,1.0,True,23862.0,21518.0,2014/2015,15.0,2014-12-13,False,35,35,Balanced,Balanced,Normal,Normal,32,40,Short,Mixed,Free Form,Organised,37,58,Normal,Normal,31,42,Little,Normal,35,52,Normal,Normal,Free Form,Organised,61,49,Medium,Medium,63,45,Press,Press,65,47,Normal,Normal,Cover,Cover,83.18,71.8,80.4,79.0,6.333333333333333,1.2133333333333332,13.333333333333334,8634.0,8305.0,3.0,2.0,12,FC Barcelona,21518,Spain,2,32
133,23862.0,2.0,2.0,0.0,False,23862.0,21518.0,2014/2015,15.0,2014-12-13,True,35,35,Balanced,Balanced,Normal,Normal,40,32,Mixed,Short,Organised,Free Form,58,37,Normal,Normal,42,31,Normal,Little,52,35,Normal,Normal,Organised,Free Form,49,61,Medium,Medium,45,63,Press,Press,47,65,Normal,Normal,Cover,Cover,71.8,83.18,79.0,80.4,6.333333333333333,13.333333333333334,1.2133333333333332,8305.0,8634.0,2.0,3.0,12,Getafe CF,21518,Spain,2,32
134,23916.0,5.0,6.0,1.0,True,23916.0,21518.0,2014/2015,2.0,2014-08-31,False,35,35,Balanced,Balanced,Normal,Normal,32,35,Short,Mixed,Free Form,Organised,37,43,Normal,Normal,31,57,Little,Normal,35,58,Normal,Normal,Free Form,Organised,61,51,Medium,Medium,63,51,Press,Press,65,56,Normal,Normal,Cover,Cover,83.18,76.4,80.4,79.0,4.111428571428571,1.577142857142857,5.328571428571428,8634.0,10205.0,5.0,0.0,8,FC Barcelona,21518,Spain,2,21
135,23916.0,0.0,1.0,1.0,False,23916.0,21518.0,2014/2015,2.0,2014-08-31,True,35,35,Balanced,Balanced,Normal,Normal,35,32,Mixed,Short,Organised,Free Form,43,37,Normal,Normal,57,31,Normal,Little,58,35,Normal,Normal,Organised,Free Form,51,61,Medium,Medium,51,63,Press,Press,56,65,Normal,Normal,Cover,Cover,76.4,83.18,79.0,80.4,4.111428571428571,5.328571428571428,1.577142857142857,10205.0,8634.0,0.0,5.0,8,Villarreal CF,21518,Spain,2,21
136,24493.0,4.0,2.0,0.0,True,24493.0,21518.0,2015/2016,38.0,2016-05-14,False,36,57,Balanced,Balanced,Normal,Normal,51,59,Mixed,Mixed,Free Form,Organised,36,61,Normal,Normal,49,63,Normal,Normal,56,51,Normal,Normal,Free Form,Organised,61,48,Medium,Medium,65,45,Press,Press,65,62,Normal,Normal,Cover,Cover,86.8,73.7,82.0,77.0,10.25,1.09,23.0,8634.0,7878.0,4.0,0.0,5,FC Barcelona,21518,Spain,7,22
137,24493.0,0.0,2.0,0.0,False,24493.0,21518.0,2015/2016,38.0,2016-05-14,True,57,36,Balanced,Balanced,Normal,Normal,59,51,Mixed,Mixed,Organised,Free Form,61,36,Normal,Normal,63,49,Normal,Normal,51,56,Normal,Normal,Organised,Free Form,48,61,Medium,Medium,45,65,Press,Press,62,65,Normal,Normal,Cover,Cover,73.7,86.8,77.0,82.0,10.25,23.0,1.09,7878.0,8634.0,0.0,4.0,5,Granada CF,21518,Spain,7,22
138,22445.0,2.0,0.0,0.0,False,22445.0,21518.0,2010/2011,24.0,2011-02-19,False,68,54,Fast,Balanced,Little,Little,56,39,Mixed,Mixed,Organised,Free Form,69,67,Risky,Risky,55,60,Normal,Normal,58,67,Normal,Lots,Organised,Free Form,37,68,Medium,High,47,55,Press,Press,54,55,Normal,Normal,Cover,Cover,70.61111111111111,82.9,72.0,68.0,7.888888888888889,16.555555555555557,1.1366666666666667,8581.0,8633.0,2.0,5.0,2,Levante UD,21518,Spain,4,20
139,22445.0,5.0,7.0,0.0,True,22445.0,21518.0,2010/2011,24.0,2011-02-19,True,54,68,Balanced,Fast,Little,Little,39,56,Mixed,Mixed,Free Form,Organised,67,69,Risky,Risky,60,55,Normal,Normal,67,58,Lots,Normal,Free Form,Organised,68,37,High,Medium,55,47,Press,Press,55,54,Normal,Normal,Cover,Cover,82.9,70.61111111111111,68.0,72.0,7.888888888888889,1.1366666666666667,16.555555555555557,8633.0,8581.0,5.0,2.0,2,Real Madrid CF,21518,Spain,4,20
140,24174.0,1.0,1.0,0.0,False,24174.0,21518.0,2014/2015,9.0,2014-10-24,False,57,53,Balanced,Balanced,Normal,Normal,63,62,Mixed,Mixed,Organised,Organised,55,59,Normal,Normal,61,68,Normal,Lots,52,52,Normal,Normal,Organised,Organised,47,42,Medium,Medium,52,52,Press,Press,56,65,Normal,Normal,Cover,Cover,72.6,72.9,72.0,74.0,4.2716666666666665,6.558333333333334,1.4799999999999998,8581.0,9910.0,1.0,2.0,10,Levante UD,21518,Spain,3,30
141,24174.0,2.0,2.0,0.0,True,24174.0,21518.0,2014/2015,9.0,2014-10-24,True,53,57,Balanced,Balanced,Normal,Normal,62,63,Mixed,Mixed,Organised,Organised,59,55,Normal,Normal,68,61,Lots,Normal,52,52,Normal,Normal,Organised,Organised,42,47,Medium,Medium,52,52,Press,Press,65,56,Normal,Normal,Cover,Cover,72.9,72.6,74.0,72.0,4.2716666666666665,1.4799999999999998,6.558333333333334,9910.0,8581.0,2.0,1.0,10,RC Celta de Vigo,21518,Spain,3,30
