,team_id,season,field players rating,gk rating
0,10242.0,2008/2009,,
1,10242.0,2009/2010,,
2,10242.0,2010/2011,,
3,10242.0,2011/2012,,
4,10242.0,2012/2013,,
5,10242.0,2013/2014,,
6,10242.0,2014/2015,,
7,10242.0,2015/2016,67.15,66.0
8,8197.0,2008/2009,,
9,8197.0,2009/2010,,
10,8197.0,2010/2011,,
11,8197.0,2011/2012,,
12,8197.0,2012/2013,,
13,8197.0,2013/2014,,
14,8197.0,2014/2015,70.5,73.28571428571429
15,8197.0,2015/2016,73.93888888888888,76.0
16,10249.0,2008/2009,,
17,10249.0,2009/2010,,
18,10249.0,2010/2011,,
19,10249.0,2011/2012,,
20,10249.0,2012/2013,,
21,10249.0,2013/2014,,
22,10249.0,2014/2015,71.64615384615385,72.84615384615384
23,10249.0,2015/2016,72.67272727272727,71.81818181818181
24,10252.0,2008/2009,78.70526315789473,82.0
25,10252.0,2009/2010,80.10909090909091,82.0
26,10252.0,2010/2011,78.14,80.0
27,10252.0,2011/2012,74.775,81.125
28,10252.0,2012/2013,71.71,76.0
29,10252.0,2013/2014,72.62941176470588,79.0
30,10252.0,2014/2015,73.83333333333333,76.66666666666667
31,10252.0,2015/2016,74.42777777777778,74.33333333333333
32,8721.0,2008/2009,76.33333333333333,80.0
33,8721.0,2009/2010,78.15,75.5
34,8721.0,2010/2011,77.14285714285714,78.42857142857143
35,8721.0,2011/2012,74.78,76.2
36,8721.0,2012/2013,,
37,8721.0,2013/2014,,
38,8721.0,2014/2015,78.19333333333333,78.0
39,8721.0,2015/2016,79.65,77.5
40,8722.0,2008/2009,70.52,75.0
41,8722.0,2009/2010,73.93333333333334,74.0
42,8722.0,2010/2011,73.3,73.6
43,8722.0,2011/2012,73.68571428571428,78.0
44,8722.0,2012/2013,,
45,8722.0,2013/2014,,
46,8722.0,2014/2015,71.775,74.0
47,8722.0,2015/2016,74.67058823529412,79.3529411764706
48,9747.0,2008/2009,,
49,9747.0,2009/2010,,
50,9747.0,2010/2011,,
51,9747.0,2011/2012,,
52,9747.0,2012/2013,,
53,9747.0,2013/2014,,
54,9747.0,2014/2015,70.9125,72.25
55,9747.0,2015/2016,71.71538461538462,76.0
56,10260.0,2008/2009,82.52631578947368,83.36842105263158
57,10260.0,2009/2010,82.51052631578948,78.52631578947368
58,10260.0,2010/2011,81.8,83.0
59,10260.0,2011/2012,81.3,75.6
60,10260.0,2012/2013,81.52,80.0
61,10260.0,2013/2014,80.33636363636364,82.0
62,10260.0,2014/2015,79.9,84.0
63,10260.0,2015/2016,79.85,84.75
64,10261.0,2008/2009,75.17272727272727,80.27272727272727
65,10261.0,2009/2010,,
66,10261.0,2010/2011,75.22,74.0
67,10261.0,2011/2012,76.4,78.0
68,10261.0,2012/2013,77.45555555555555,75.88888888888889
69,10261.0,2013/2014,76.05833333333334,79.0
70,10261.0,2014/2015,74.34666666666666,76.2
71,10261.0,2015/2016,75.59285714285714,70.57142857142857
72,9748.0,2008/2009,,
73,9748.0,2009/2010,,
74,9748.0,2010/2011,,
75,9748.0,2011/2012,,
76,9748.0,2012/2013,,
77,9748.0,2013/2014,,
78,9748.0,2014/2015,74.46428571428571,78.0
79,9748.0,2015/2016,76.845,80.1
80,10267.0,2008/2009,80.35955056179775,74.88888888888889
81,10267.0,2009/2010,80.4,76.875
82,10267.0,2010/2011,78.6,78.0
83,10267.0,2011/2012,77.7,79.4
84,10267.0,2012/2013,,
85,10267.0,2013/2014,,
86,10267.0,2014/2015,78.60909090909091,82.0
87,10267.0,2015/2016,79.05333333333333,76.66666666666667
88,10268.0,2008/2009,,
89,10268.0,2009/2010,,
90,10268.0,2010/2011,,
91,10268.0,2011/2012,,
92,10268.0,2012/2013,,
93,10268.0,2013/2014,,
94,10268.0,2014/2015,72.00833333333334,75.0
95,10268.0,2015/2016,,
96,10269.0,2008/2009,75.1,80.0
97,10269.0,2009/2010,76.2,79.0
98,10269.0,2010/2011,74.56666666666666,73.0
99,10269.0,2011/2012,75.95,77.0
100,10269.0,2012/2013,,
101,10269.0,2013/2014,,
102,10269.0,2014/2015,73.10833333333333,75.5
103,10269.0,2015/2016,74.99230769230769,74.92307692307692
104,8226.0,2008/2009,74.85,76.5
105,8226.0,2009/2010,75.8,74.0
106,8226.0,2010/2011,75.35,73.0
107,8226.0,2011/2012,74.025,77.0
