,match_id,team_id,possession_only_second_half,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
124,1803,10261,38,4,3,1,2,0,2
125,1803,10194,62,4,0,4,1,0,1
126,1804,8655,48,2,2,0,1,1,0
127,1804,8650,52,5,0,5,3,3,0
128,1805,8456,38,7,2,5,4,3,1
129,1805,9879,62,7,3,4,0,0,0
130,1806,8559,45,8,3,5,1,0,1
131,1806,8455,55,4,2,2,0,0,0
132,1808,8549,45,6,3,3,3,2,1
133,1808,8667,55,6,3,3,3,1,2
134,1809,8650,83,12,7,5,3,2,1
135,1809,8667,17,3,2,1,0,0,0
136,1810,8472,44,7,5,2,1,1,0
137,1810,8659,56,13,7,6,1,1,0
138,1811,8586,44,5,3,2,1,0,1
139,1811,10260,56,10,5,5,0,0,0
140,1812,10252,57,4,1,3,1,0,1
141,1812,8559,43,1,0,1,0,0,0
142,1816,9879,55,7,2,5,2,1,1
143,1816,10194,45,0,0,0,1,1,0
144,1817,8528,-52,1,1,0,3,3,0
145,1817,8655,152,4,3,1,0,0,0
146,1820,8650,59,7,4,3,3,1,2
147,1820,9825,41,3,1,2,0,0,0
148,1821,8654,66,12,6,6,3,1,2
149,1821,10252,34,6,4,2,0,0,0
150,1822,8455,46,7,5,2,1,0,1
151,1822,8668,54,9,5,4,0,0,0
152,1823,8586,63,6,4,2,2,1,1
153,1823,10261,37,3,3,0,2,0,2
154,1824,10194,54,4,1,3,2,1,1
155,1824,8655,46,6,1,5,0,0,0
156,1825,8549,49,6,4,2,5,4,1
157,1825,9879,51,10,7,3,1,0,1
158,1829,8650,64,9,5,4,1,0,1
159,1829,8559,36,1,1,0,0,0,0
160,1830,8655,31,3,1,2,2,2,0
161,1830,8472,69,9,0,9,0,0,0
162,1831,9879,43,7,5,2,2,0,2
163,1831,8586,57,9,3,6,1,0,1
164,1832,10252,34,7,5,2,2,0,2
165,1832,9825,66,3,0,3,1,0,1
166,1833,8549,65,5,3,2,1,0,1
167,1833,8668,35,4,1,3,0,0,0
168,1834,8667,43,6,3,3,3,0,3
169,1834,8456,57,9,8,1,0,0,0
170,1836,10194,52,4,1,3,1,1,0
171,1836,10260,48,8,3,5,0,0,0
172,1838,8455,61,14,6,8,3,0,3
173,1838,8659,39,5,1,4,1,0,1
174,1839,8650,57,6,3,3,1,1,0
175,1839,8549,43,4,2,2,0,0,0
176,1840,8472,41,4,3,1,3,1,2
177,1840,8586,59,6,0,6,2,0,2
178,1841,10261,57,6,2,4,1,1,0
179,1841,8559,43,3,1,2,0,0,0
180,1842,8456,60,5,4,1,1,0,1
181,1842,8654,40,0,0,0,0,0,0
182,1844,9825,51,8,2,6,1,0,1
183,1844,9879,49,2,2,0,0,0,0
184,1845,8659,41,7,2,5,1,1,0
185,1845,8668,59,4,2,2,2,0,2
186,1846,10260,69,7,3,4,3,2,1
187,1846,8462,31,4,1,3,0,0,0
188,1847,10194,44,1,1,0,2,1,1
189,1847,10252,56,0,0,0,2,0,2
190,1848,8528,49,9,5,4,2,1,1
191,1848,8455,51,4,1,3,2,0,2
192,1849,10260,61,12,7,5,1,1,0
193,1849,8549,39,2,2,0,0,0,0
194,1850,9825,60,6,2,4,2,0,2
195,1850,8462,40,4,2,2,0,0,0
196,1851,10194,18,4,1,3,1,0,1
197,1851,8654,82,12,5,7,0,0,0
198,1852,8472,44,6,4,2,3,1,2
199,1852,8668,56,3,1,2,0,0,0
200,1854,8655,52,7,3,4,1,0,1
201,1854,8456,48,1,0,1,0,0,0
202,1855,8455,64,17,9,8,1,1,0
203,1855,9879,36,1,1,0,2,1,1
204,1856,8559,41,9,3,6,2,2,0
205,1856,8528,59,6,6,0,0,0,0
206,1857,8659,59,7,3,4,1,1,0
207,1857,8586,41,5,2,3,1,0,1
208,1858,10252,54,3,1,2,1,1,0
209,1858,8667,46,3,1,2,2,0,2
210,1859,8455,43,6,4,2,2,0,2
211,1859,10260,57,6,3,3,0,0,0
212,1860,9825,67,7,1,6,1,1,0
213,1860,8559,33,3,0,3,0,0,0
214,1861,8659,44,6,3,3,1,0,1
215,1861,10252,56,14,6,8,1,0,1
216,1862,8668,63,2,2,0,1,1,0
217,1862,8667,37,0,0,0,2,0,2
218,1863,8549,59,4,2,2,1,0,1
219,1863,8472,41,4,2,2,1,0,1
220,1865,9879,-43,8,5,3,4,1,3
221,1865,8655,143,7,3,4,1,1,0
222,1866,8462,57,6,2,4,1,0,1
223,1866,8456,43,8,4,4,0,0,0
224,1867,8650,71,5,2,3,3,0,3
225,1867,10194,29,0,0,0,0,0,0
226,1869,8668,38,5,3,2,1,0,1
227,1869,8650,62,5,3,2,0,0,0
228,1870,10252,40,2,1,1,3,1,2
229,1870,8472,60,4,2,2,1,0,1
230,1871,8586,52,15,10,5,1,0,1
231,1871,8462,48,4,4,0,2,0,2
232,1872,8654,64,6,4,2,1,0,1
233,1872,9879,36,5,1,4,0,0,0
234,1873,8456,47,2,2,0,3,3,0
235,1873,8528,53,8,1,7,1,0,1
