,match_id,shots_on_first_half,shots_on_second_half,goals_first_half,T,id_x,country_id,season,stage,date,is_home_team,curr_buildUpPlaySpeed,rival_buildUpPlaySpeed,curr_buildUpPlaySpeedClass,rival_buildUpPlaySpeedClass,curr_buildUpPlayDribblingClass,rival_buildUpPlayDribblingClass,curr_buildUpPlayPassing,rival_buildUpPlayPassing,curr_buildUpPlayPassingClass,rival_buildUpPlayPassingClass,curr_buildUpPlayPositioningClass,rival_buildUpPlayPositioningClass,curr_chanceCreationPassing,rival_chanceCreationPassing,curr_chanceCreationPassingClass,rival_chanceCreationPassingClass,curr_chanceCreationCrossing,rival_chanceCreationCrossing,curr_chanceCreationCrossingClass,rival_chanceCreationCrossingClass,curr_chanceCreationShooting,rival_chanceCreationShooting,curr_chanceCreationShootingClass,rival_chanceCreationShootingClass,curr_chanceCreationPositioningClass,rival_chanceCreationPositioningClass,curr_defencePressure,rival_defencePressure,curr_defencePressureClass,rival_defencePressureClass,curr_defenceAggression,rival_defenceAggression,curr_defenceAggressionClass,rival_defenceAggressionClass,curr_defenceTeamWidth,rival_defenceTeamWidth,curr_defenceTeamWidthClass,rival_defenceTeamWidthClass,curr_defenceDefenderLineClass,rival_defenceDefenderLineClass,curr_field players rating,rival_field players rating,curr_gk rating,rival_gk rating,draw_bets,curr_bets,rival_bets,curr_team_api_id,rival_team_api_id,curr_shots_1,rival_shots_1,month,team_long_name,id_y,country_name,cards,fouls
0,1760.0,7.0,1.0,2.0,True,1760.0,1729.0,2008/2009,12.0,2008-11-08,True,50,65,Balanced,Balanced,Little,Little,35,40,Mixed,Mixed,Organised,Organised,50,70,Normal,Risky,60,70,Normal,Lots,70,55,Lots,Normal,Organised,Organised,40,70,Medium,High,60,70,Press,Double,40,70,Normal,Wide,Cover,Cover,81.26666666666667,71.03333333333333,84.0,76.0,5.577777777777778,1.2166666666666666,14.666666666666666,8650.0,8659.0,7.0,1.0,11,Liverpool,1729,England,3,18
1,1760.0,1.0,1.0,0.0,False,1760.0,1729.0,2008/2009,12.0,2008-11-08,False,65,50,Balanced,Balanced,Little,Little,40,35,Mixed,Mixed,Organised,Organised,70,50,Risky,Normal,70,60,Lots,Normal,55,70,Normal,Lots,Organised,Organised,70,40,High,Medium,70,60,Double,Press,70,40,Wide,Normal,Cover,Cover,71.03333333333333,81.26666666666667,76.0,84.0,5.577777777777778,14.666666666666666,1.2166666666666666,8659.0,8650.0,1.0,7.0,11,West Bromwich Albion,1729,England,3,18
2,1829.0,5.0,4.0,0.0,True,1829.0,1729.0,2008/2009,19.0,2008-12-26,True,50,55,Balanced,Balanced,Little,Little,35,70,Mixed,Long,Organised,Organised,50,70,Normal,Risky,60,70,Normal,Lots,70,45,Lots,Normal,Organised,Organised,40,35,Medium,Medium,60,70,Press,Double,40,35,Normal,Normal,Cover,Cover,81.26666666666667,74.025,84.0,80.0,4.464444444444444,1.336666666666667,10.055555555555555,8650.0,8559.0,5.0,1.0,12,Liverpool,1729,England,4,20
3,1829.0,1.0,0.0,0.0,False,1829.0,1729.0,2008/2009,19.0,2008-12-26,False,55,50,Balanced,Balanced,Little,Little,70,35,Long,Mixed,Organised,Organised,70,50,Risky,Normal,70,60,Lots,Normal,45,70,Normal,Lots,Organised,Organised,35,40,Medium,Medium,70,60,Double,Press,35,40,Normal,Normal,Cover,Cover,74.025,81.26666666666667,80.0,84.0,4.464444444444444,10.055555555555555,1.336666666666667,8559.0,8650.0,1.0,5.0,12,Bolton Wanderers,1729,England,4,20
4,1804.0,0.0,5.0,0.0,True,1804.0,1729.0,2008/2009,16.0,2008-12-06,False,50,55,Balanced,Balanced,Little,Little,35,70,Mixed,Long,Organised,Organised,50,60,Normal,Normal,60,70,Normal,Lots,70,55,Lots,Normal,Organised,Organised,40,45,Medium,Medium,60,70,Press,Double,40,45,Normal,Normal,Cover,Cover,81.26666666666667,75.4,84.0,78.0,3.477777777777778,1.6855555555555555,5.283333333333333,8650.0,8655.0,0.0,2.0,12,Liverpool,1729,England,4,22
5,1804.0,2.0,0.0,0.0,False,1804.0,1729.0,2008/2009,16.0,2008-12-06,True,55,50,Balanced,Balanced,Little,Little,70,35,Long,Mixed,Organised,Organised,60,50,Normal,Normal,70,60,Lots,Normal,55,70,Normal,Lots,Organised,Organised,45,40,Medium,Medium,70,60,Double,Press,45,40,Normal,Normal,Cover,Cover,75.4,81.26666666666667,78.0,84.0,3.477777777777778,5.283333333333333,1.6855555555555555,8655.0,8650.0,2.0,0.0,12,Blackburn Rovers,1729,England,4,22
6,2541.0,6.0,3.0,1.0,True,2541.0,1729.0,2010/2011,14.0,2010-11-20,True,60,35,Balanced,Balanced,Little,Little,50,35,Mixed,Mixed,Organised,Organised,40,30,Normal,Safe,45,45,Normal,Normal,60,45,Normal,Normal,Organised,Organised,55,45,Medium,Medium,55,45,Press,Press,50,50,Normal,Normal,Cover,Cover,79.4,72.8,85.0,78.0,3.7277777777777774,1.5544444444444445,6.488888888888889,8650.0,8654.0,6.0,2.0,11,Liverpool,1729,England,1,17
7,2541.0,2.0,1.0,1.0,False,2541.0,1729.0,2010/2011,14.0,2010-11-20,False,35,60,Balanced,Balanced,Little,Little,35,50,Mixed,Mixed,Organised,Organised,30,40,Safe,Normal,45,45,Normal,Normal,45,60,Normal,Normal,Organised,Organised,45,55,Medium,Medium,45,55,Press,Press,50,50,Normal,Normal,Cover,Cover,72.8,79.4,78.0,85.0,3.7277777777777774,6.488888888888889,1.5544444444444445,8654.0,8650.0,2.0,6.0,11,West Ham United,1729,England,1,17
8,2859.0,3.0,1.0,1.0,True,2859.0,1729.0,2010/2011,9.0,2010-10-24,True,60,55,Balanced,Balanced,Little,Little,50,65,Mixed,Mixed,Organised,Organised,40,50,Normal,Normal,45,50,Normal,Normal,60,35,Normal,Normal,Organised,Organised,55,45,Medium,Medium,55,60,Press,Press,50,55,Normal,Normal,Cover,Cover,79.4,74.8,85.0,79.0,3.6277777777777778,1.6655555555555557,5.261111111111111,8650.0,8655.0,3.0,0.0,10,Liverpool,1729,England,5,25
9,2859.0,0.0,0.0,1.0,False,2859.0,1729.0,2010/2011,9.0,2010-10-24,False,55,60,Balanced,Balanced,Little,Little,65,50,Mixed,Mixed,Organised,Organised,50,40,Normal,Normal,50,45,Normal,Normal,35,60,Normal,Normal,Organised,Organised,45,55,Medium,Medium,60,55,Press,Press,55,50,Normal,Normal,Cover,Cover,74.8,79.4,79.0,85.0,3.6277777777777778,5.261111111111111,1.6655555555555557,8655.0,8650.0,0.0,3.0,10,Blackburn Rovers,1729,England,5,25
