,match_id,shots_on_first_half,shots_on_second_half,goals_first_half,T,id_x,country_id,season,stage,date,is_home_team,curr_buildUpPlaySpeed,rival_buildUpPlaySpeed,curr_buildUpPlaySpeedClass,rival_buildUpPlaySpeedClass,curr_buildUpPlayDribblingClass,rival_buildUpPlayDribblingClass,curr_buildUpPlayPassing,rival_buildUpPlayPassing,curr_buildUpPlayPassingClass,rival_buildUpPlayPassingClass,curr_buildUpPlayPositioningClass,rival_buildUpPlayPositioningClass,curr_chanceCreationPassing,rival_chanceCreationPassing,curr_chanceCreationPassingClass,rival_chanceCreationPassingClass,curr_chanceCreationCrossing,rival_chanceCreationCrossing,curr_chanceCreationCrossingClass,rival_chanceCreationCrossingClass,curr_chanceCreationShooting,rival_chanceCreationShooting,curr_chanceCreationShootingClass,rival_chanceCreationShootingClass,curr_chanceCreationPositioningClass,rival_chanceCreationPositioningClass,curr_defencePressure,rival_defencePressure,curr_defencePressureClass,rival_defencePressureClass,curr_defenceAggression,rival_defenceAggression,curr_defenceAggressionClass,rival_defenceAggressionClass,curr_defenceTeamWidth,rival_defenceTeamWidth,curr_defenceTeamWidthClass,rival_defenceTeamWidthClass,curr_defenceDefenderLineClass,rival_defenceDefenderLineClass,curr_field players rating,rival_field players rating,curr_gk rating,rival_gk rating,draw_bets,curr_bets,rival_bets,curr_team_api_id,rival_team_api_id,curr_shots_1,rival_shots_1,month,team_long_name,id_y,country_name,cards,fouls
0,1860.0,1.0,6.0,1.0,True,1860.0,1729.0,2008/2009,21.0,2009-01-10,True,66,55,Balanced,Balanced,Little,Little,30,70,Short,Long,Free Form,Organised,30,70,Safe,Risky,45,70,Normal,Lots,35,45,Normal,Normal,Free Form,Organised,30,35,Deep,Medium,40,70,Press,Double,50,35,Normal,Normal,Cover,Cover,80.15714285714286,73.6125,76.85714285714286,80.0,4.282222222222222,1.3544444444444446,9.472222222222221,9825.0,8559.0,1.0,0.0,1,Arsenal,1729,England,4,32
1,1860.0,0.0,3.0,0.0,False,1860.0,1729.0,2008/2009,21.0,2009-01-10,False,55,66,Balanced,Balanced,Little,Little,70,30,Long,Short,Organised,Free Form,70,30,Risky,Safe,70,45,Lots,Normal,45,35,Normal,Normal,Organised,Free Form,35,30,Medium,Deep,70,40,Double,Press,35,50,Normal,Normal,Cover,Cover,73.6125,80.15714285714286,80.0,76.85714285714286,4.282222222222222,9.472222222222221,1.3544444444444446,8559.0,9825.0,0.0,1.0,1,Bolton Wanderers,1729,England,4,32
2,1890.0,3.0,6.0,1.0,True,1890.0,1729.0,2008/2009,24.0,2009-01-31,True,66,58,Balanced,Balanced,Little,Little,30,30,Short,Short,Free Form,Organised,30,31,Safe,Safe,45,70,Normal,Lots,35,50,Normal,Normal,Free Form,Organised,30,30,Deep,Deep,40,70,Press,Double,50,30,Normal,Narrow,Cover,Cover,80.15714285714286,74.46153846153847,76.85714285714286,80.0,4.162222222222223,1.4388888888888889,7.405555555555556,9825.0,8654.0,3.0,1.0,1,Arsenal,1729,England,4,27
3,1890.0,1.0,1.0,0.0,False,1890.0,1729.0,2008/2009,24.0,2009-01-31,False,58,66,Balanced,Balanced,Little,Little,30,30,Short,Short,Organised,Free Form,31,30,Safe,Safe,70,45,Lots,Normal,50,35,Normal,Normal,Organised,Free Form,30,30,Deep,Deep,70,40,Double,Press,30,50,Narrow,Normal,Cover,Cover,74.46153846153847,80.15714285714286,80.0,76.85714285714286,4.162222222222223,7.405555555555556,1.4388888888888889,8654.0,9825.0,1.0,3.0,1,West Ham United,1729,England,4,27
4,1910.0,5.0,3.0,2.0,True,1910.0,1729.0,2008/2009,26.0,2009-02-21,True,66,60,Balanced,Balanced,Little,Little,30,70,Short,Long,Free Form,Organised,30,70,Safe,Risky,45,70,Normal,Lots,35,55,Normal,Normal,Free Form,Organised,30,35,Deep,Medium,40,70,Press,Double,50,35,Normal,Normal,Cover,Cover,80.15714285714286,74.0,76.85714285714286,69.0,4.112222222222223,1.4066666666666665,8.277777777777779,9825.0,8472.0,5.0,2.0,2,Arsenal,1729,England,4,19
5,1910.0,2.0,0.0,0.0,False,1910.0,1729.0,2008/2009,26.0,2009-02-21,False,60,66,Balanced,Balanced,Little,Little,70,30,Long,Short,Organised,Free Form,70,30,Risky,Safe,70,45,Lots,Normal,55,35,Normal,Normal,Organised,Free Form,35,30,Medium,Deep,70,40,Double,Press,35,50,Normal,Normal,Cover,Cover,74.0,80.15714285714286,69.0,76.85714285714286,4.112222222222223,8.277777777777779,1.4066666666666665,8472.0,9825.0,2.0,5.0,2,Sunderland,1729,England,4,19
6,2039.0,7.0,2.0,1.0,True,2039.0,1729.0,2008/2009,38.0,2009-05-24,True,66,65,Balanced,Balanced,Little,Little,30,70,Short,Long,Free Form,Organised,30,70,Safe,Risky,45,70,Normal,Lots,35,55,Normal,Normal,Free Form,Organised,30,35,Deep,Medium,40,70,Press,Double,50,35,Normal,Normal,Cover,Cover,80.15714285714286,70.025,76.85714285714286,74.0,4.833333333333333,1.317777777777778,9.277777777777779,9825.0,10194.0,7.0,1.0,5,Arsenal,1729,England,1,21
7,2039.0,1.0,0.0,2.0,False,2039.0,1729.0,2008/2009,38.0,2009-05-24,False,65,66,Balanced,Balanced,Little,Little,70,30,Long,Short,Organised,Free Form,70,30,Risky,Safe,70,45,Lots,Normal,55,35,Normal,Normal,Organised,Free Form,35,30,Medium,Deep,70,40,Double,Press,35,50,Normal,Normal,Cover,Cover,70.025,80.15714285714286,74.0,76.85714285714286,4.833333333333333,9.277777777777779,1.317777777777778,10194.0,9825.0,1.0,7.0,5,Stoke City,1729,England,1,21
8,2065.0,0.0,5.0,0.0,True,2065.0,1729.0,2008/2009,5.0,2008-09-20,False,66,55,Balanced,Balanced,Little,Little,30,70,Short,Long,Free Form,Organised,30,70,Safe,Risky,45,70,Normal,Lots,35,45,Normal,Normal,Free Form,Organised,30,35,Deep,Medium,40,70,Press,Double,50,35,Normal,Normal,Cover,Cover,80.15714285714286,73.6125,76.85714285714286,80.0,3.577777777777778,1.61,5.844444444444444,9825.0,8559.0,0.0,3.0,9,Arsenal,1729,England,4,25
9,2065.0,3.0,4.0,1.0,False,2065.0,1729.0,2008/2009,5.0,2008-09-20,True,55,66,Balanced,Balanced,Little,Little,70,30,Long,Short,Organised,Free Form,70,30,Risky,Safe,70,45,Lots,Normal,45,35,Normal,Normal,Organised,Free Form,35,30,Medium,Deep,70,40,Double,Press,35,50,Normal,Normal,Cover,Cover,73.6125,80.15714285714286,80.0,76.85714285714286,3.577777777777778,5.844444444444444,1.61,8559.0,9825.0,3.0,0.0,9,Bolton Wanderers,1729,England,4,25
