,match_id,shots_on_first_half,shots_on_second_half,goals_first_half,T,id_x,country_id,season,stage,date,is_home_team,curr_buildUpPlaySpeed,rival_buildUpPlaySpeed,curr_buildUpPlaySpeedClass,rival_buildUpPlaySpeedClass,curr_buildUpPlayDribblingClass,rival_buildUpPlayDribblingClass,curr_buildUpPlayPassing,rival_buildUpPlayPassing,curr_buildUpPlayPassingClass,rival_buildUpPlayPassingClass,curr_buildUpPlayPositioningClass,rival_buildUpPlayPositioningClass,curr_chanceCreationPassing,rival_chanceCreationPassing,curr_chanceCreationPassingClass,rival_chanceCreationPassingClass,curr_chanceCreationCrossing,rival_chanceCreationCrossing,curr_chanceCreationCrossingClass,rival_chanceCreationCrossingClass,curr_chanceCreationShooting,rival_chanceCreationShooting,curr_chanceCreationShootingClass,rival_chanceCreationShootingClass,curr_chanceCreationPositioningClass,rival_chanceCreationPositioningClass,curr_defencePressure,rival_defencePressure,curr_defencePressureClass,rival_defencePressureClass,curr_defenceAggression,rival_defenceAggression,curr_defenceAggressionClass,rival_defenceAggressionClass,curr_defenceTeamWidth,rival_defenceTeamWidth,curr_defenceTeamWidthClass,rival_defenceTeamWidthClass,curr_defenceDefenderLineClass,rival_defenceDefenderLineClass,curr_field players rating,rival_field players rating,curr_gk rating,rival_gk rating,draw_bets,curr_bets,rival_bets,curr_team_api_id,rival_team_api_id,curr_shots_1,rival_shots_1,month,team_long_name,id_y,country_name,cards,fouls
0,1759.0,3.0,3.0,1.0,True,1759.0,1729.0,2008/2009,12.0,2008-11-08,True,66,70,Balanced,Fast,Little,Little,30,45,Short,Mixed,Free Form,Organised,30,45,Safe,Normal,45,70,Normal,Lots,35,65,Normal,Normal,Free Form,Free Form,30,40,Deep,Medium,40,50,Press,Press,50,40,Normal,Normal,Cover,Cover,80.3625,82.52631578947368,77.75,83.36842105263158,3.1722222222222225,3.0666666666666664,2.3400000000000003,9825.0,10260.0,3.0,5.0,11,Arsenal,1729,England,5,25
1,1759.0,5.0,4.0,1.0,False,1759.0,1729.0,2008/2009,12.0,2008-11-08,False,70,66,Fast,Balanced,Little,Little,45,30,Mixed,Short,Organised,Free Form,45,30,Normal,Safe,70,45,Lots,Normal,65,35,Normal,Normal,Free Form,Free Form,40,30,Medium,Deep,50,40,Press,Press,40,50,Normal,Normal,Cover,Cover,82.52631578947368,80.3625,83.36842105263158,77.75,3.1722222222222225,2.3400000000000003,3.0666666666666664,10260.0,9825.0,5.0,3.0,11,Manchester United,1729,England,5,25
2,1770.0,3.0,5.0,0.0,True,1770.0,1729.0,2008/2009,13.0,2008-11-15,True,66,70,Balanced,Fast,Little,Little,30,59,Short,Mixed,Free Form,Organised,30,65,Safe,Normal,45,70,Normal,Lots,35,50,Normal,Normal,Free Form,Free Form,30,30,Deep,Deep,40,70,Press,Double,50,30,Normal,Narrow,Cover,Cover,80.3625,78.70526315789473,77.75,82.0,3.7944444444444443,1.488888888888889,6.666666666666667,9825.0,10252.0,3.0,4.0,11,Arsenal,1729,England,6,30
3,1770.0,4.0,0.0,1.0,False,1770.0,1729.0,2008/2009,13.0,2008-11-15,False,70,66,Fast,Balanced,Little,Little,59,30,Mixed,Short,Organised,Free Form,65,30,Normal,Safe,70,45,Lots,Normal,50,35,Normal,Normal,Free Form,Free Form,30,30,Deep,Deep,70,40,Double,Press,30,50,Narrow,Normal,Cover,Cover,78.70526315789473,80.3625,82.0,77.75,3.7944444444444443,6.666666666666667,1.488888888888889,10252.0,9825.0,4.0,3.0,11,Aston Villa,1729,England,6,30
4,1860.0,1.0,6.0,1.0,True,1860.0,1729.0,2008/2009,21.0,2009-01-10,True,66,55,Balanced,Balanced,Little,Little,30,70,Short,Long,Free Form,Organised,30,70,Safe,Risky,45,70,Normal,Lots,35,45,Normal,Normal,Free Form,Organised,30,35,Deep,Medium,40,70,Press,Double,50,35,Normal,Normal,Cover,Cover,80.3625,73.71052631578948,77.75,80.0,4.282222222222222,1.3544444444444446,9.472222222222221,9825.0,8559.0,1.0,0.0,1,Arsenal,1729,England,4,32
5,1860.0,0.0,3.0,0.0,False,1860.0,1729.0,2008/2009,21.0,2009-01-10,False,55,66,Balanced,Balanced,Little,Little,70,30,Long,Short,Organised,Free Form,70,30,Risky,Safe,70,45,Lots,Normal,45,35,Normal,Normal,Organised,Free Form,35,30,Medium,Deep,70,40,Double,Press,35,50,Normal,Normal,Cover,Cover,73.71052631578948,80.3625,80.0,77.75,4.282222222222222,9.472222222222221,1.3544444444444446,8559.0,9825.0,0.0,1.0,1,Bolton Wanderers,1729,England,4,32
6,1890.0,3.0,6.0,1.0,True,1890.0,1729.0,2008/2009,24.0,2009-01-31,True,66,58,Balanced,Balanced,Little,Little,30,30,Short,Short,Free Form,Organised,30,31,Safe,Safe,45,70,Normal,Lots,35,50,Normal,Normal,Free Form,Organised,30,30,Deep,Deep,40,70,Press,Double,50,30,Normal,Narrow,Cover,Cover,80.3625,74.56852791878173,77.75,80.0,4.162222222222223,1.4388888888888889,7.405555555555556,9825.0,8654.0,3.0,1.0,1,Arsenal,1729,England,4,27
7,1890.0,1.0,1.0,0.0,False,1890.0,1729.0,2008/2009,24.0,2009-01-31,False,58,66,Balanced,Balanced,Little,Little,30,30,Short,Short,Organised,Free Form,31,30,Safe,Safe,70,45,Lots,Normal,50,35,Normal,Normal,Organised,Free Form,30,30,Deep,Deep,70,40,Double,Press,30,50,Narrow,Normal,Cover,Cover,74.56852791878173,80.3625,80.0,77.75,4.162222222222223,7.405555555555556,1.4388888888888889,8654.0,9825.0,1.0,3.0,1,West Ham United,1729,England,4,27
8,1910.0,5.0,3.0,2.0,True,1910.0,1729.0,2008/2009,26.0,2009-02-21,True,66,60,Balanced,Balanced,Little,Little,30,70,Short,Long,Free Form,Organised,30,70,Safe,Risky,45,70,Normal,Lots,35,55,Normal,Normal,Free Form,Organised,30,35,Deep,Medium,40,70,Press,Double,50,35,Normal,Normal,Cover,Cover,80.3625,74.04444444444445,77.75,71.0,4.112222222222223,1.4066666666666665,8.277777777777779,9825.0,8472.0,5.0,2.0,2,Arsenal,1729,England,4,19
9,1910.0,2.0,0.0,0.0,False,1910.0,1729.0,2008/2009,26.0,2009-02-21,False,60,66,Balanced,Balanced,Little,Little,70,30,Long,Short,Organised,Free Form,70,30,Risky,Safe,70,45,Lots,Normal,55,35,Normal,Normal,Organised,Free Form,35,30,Medium,Deep,70,40,Double,Press,35,50,Normal,Normal,Cover,Cover,74.04444444444445,80.3625,71.0,77.75,4.112222222222223,8.277777777777779,1.4066666666666665,8472.0,9825.0,2.0,5.0,2,Sunderland,1729,England,4,19
